county_fips,score,yost_ses_quintile
01000,0.43197407407407407,4
01001,0.9503607547169812,5
01002,1.1679935714285714,5
01003,0.8605683333333333,5
01004,0.866011746031746,5
01005,0.8152019047619048,5
01006,0.8579295238095238,5
01007,0.3450673913043478,4
01008,-0.11864840336134455,2
01009,0.6080464429530201,4
01010,0.35614152173913044,4
01011,0.195318125,3
01012,0.6036946808510638,4
01013,1.3640539999999999,5
02001,0.07928,3
02002,-0.8970837037037037,1
02005,0.5792733333333333,4
02006,-0.86033,1
02007,0.31552,3
02009,-0.8377968421052632,1
02010,-0.69472,1
02011,-1.2116866666666668,1
02012,-0.4475046153846154,1
02013,-0.741625,1
02015,-0.46181599999999995,1
02016,0.67766,4
02017,-0.6060646153846154,1
02018,0.41723,4
02020,0.26775499999999997,3
02022,-1.07368,1
02023,0.017666666666666647,2
02024,-0.56,1
02026,-0.6484466666666666,1
02027,1.1465,5
02028,-0.33685,1
02029,0.69105,4
04000,0.1605048101265823,3
04001,-0.3084685242290749,1
04002,0.38517739130434786,4
05000,0.5044063157894737,4
05001,0.9519550000000001,5
05002,0.9697475,5
05003,0.8989908695652175,5
05004,0.4193622857142857,4
05005,0.7417493023255813,5
05006,0.7722977272727273,5
05007,1.2377905263157896,5
05008,0.702925,5
05009,1.0625806451612902,5
05010,1.036502,5
05011,0.23862609523809525,3
05012,0.5055144444444445,4
05013,0.6045924444444444,4
05014,0.5057954716981132,4
06000,-0.43861881081081083,1
06001,-0.23781781420765027,2
06002,0.34931049999999997,4
06003,0.20039243972999035,3
06004,-0.3331871544715447,1
06005,-0.5119002295552367,1
06006,-0.16364144329896907,2
06007,-0.25134889661164206,1
06008,-0.6991331402439025,1
06009,-0.18473318352059925,2
06010,0.5550355555555556,4
06011,-0.3512275621890547,1
08000,-0.5833147663551401,1
08001,-1.1164978947368422,1
08002,0.3363230769230769,4
08003,-0.5937478494623656,1
08004,-0.7968459375,1
08005,-1.0886007194244602,1
08006,-0.8740366197183099,1
08007,-0.19168186046511626,2
08008,0.27936303030303034,3
08009,-0.5607655555555556,1
08010,-0.0869109375,2
08011,-1.017342857142857,1
08012,0.046752499999999995,2
09000,-0.3190902915451895,1
09001,-0.37484355140186915,1
10000,-0.0552921875,2
11000,0.13432792899408283,3
12000,-0.2974671428571429,1
12001,-0.1237340350877193,2
12002,-0.08491194029850746,2
12003,0.11854256880733946,3
12004,1.0278413333333334,5
12005,0.08902686868686868,3
12006,0.18690149253731342,3
12007,-0.16216689655172414,2
12008,0.30625904191616765,3
12009,-0.2909222093023256,1
12010,0.14617569007263922,3
12011,-0.35820036199095023,1
12012,0.1464912087912088,3
12013,0.7661511111111111,5
13000,1.020664,5
13001,0.90193,5
13002,0.8151811320754717,5
13003,0.7155170370370371,5
13004,0.8226868965517241,5
13005,0.16044959349593496,3
13006,-0.441329104477612,1
13007,0.2549942105263158,3
13008,-0.3487265648854962,1
13009,0.5850621428571429,4
13010,1.0555645454545455,5
13011,-0.10570545454545452,2
13012,0.05081483870967742,3
13013,-0.29388378378378377,1
13014,0.8255642105263158,5
13015,0.23377304347826086,3
13016,1.0766882352941176,5
13017,0.6923986666666667,5
13018,0.5780942857142857,4
13019,1.169287619047619,5
13020,0.9839514285714286,5
13021,0.41173849999999995,4
13022,0.6197112,4
13023,0.96497,5
13024,0.34208819672131147,4
13025,1.00186,5
13026,1.1118642105263157,5
13027,0.93213,5
13028,0.8187081818181817,5
13029,0.9536365853658536,5
13030,1.140364705882353,5
13031,0.94928,5
13032,0.9922320000000001,5
15000,-0.4389411194029851,1
16000,-0.6845776315789474,1
16001,-0.42211136363636365,1
16002,0.3025207142857143,3
16003,0.16738571428571428,3
16004,0.19766133333333336,3
16005,-0.31601384615384615,1
16006,-0.061691666666666665,2
16007,0.4841557142857143,4
16008,0.08372952380952382,3
17000,0.31579250000000003,3
17001,-0.2463949152542373,2
17002,0.30956685714285714,3
17003,0.10426759134973901,3
17004,-0.9082520238095239,1
17005,0.5064794594594595,4
17006,0.2078442857142857,3
17007,0.0015847619047619037,2
17008,-0.03114818181818183,2
17009,-0.4349384,1
17010,0.14402871794871794,3
17011,-0.25264505263157894,1
17012,0.28954066666666667,3
17013,0.18752214285714283,3
17014,0.12120739726027398,3
17015,0.3894494736842105,4
17016,0.02964975000000001,2
17017,-0.0267256603773585,2
17018,0.3867083720930233,4
17019,-0.16516780487804877,2
17020,-0.004523571428571418,2
18000,-0.029444957264957262,2
18001,0.25942076923076923,3
18002,0.5257721212121212,4
18003,0.47345594936708857,4
18004,0.46014499999999997,4
18005,-0.18905868852459015,2
18006,0.13178733333333334,3
18007,0.5266245714285714,4
18008,0.3442778313253012,4
18009,0.1804172508591065,3
18010,-0.00639762711864407,2
18011,0.7523755555555556,5
18012,0.03985348837209302,2
18013,0.662511724137931,4
18014,0.3122155319148936,3
18015,-0.0671389090909091,2
18016,0.32010045454545455,4
18017,0.31241380952380954,3
18018,0.04138666666666666,2
19000,0.23713555555555554,3
19001,-0.07584920634920635,2
19002,0.07383615384615384,3
19003,-0.1592223076923077,2
19004,0.09202333333333333,3
19005,0.027473600000000008,2
19006,-0.029797142857142862,2
19007,-0.10485894736842105,2
19008,0.046410434782608694,2
19009,0.02949153846153846,2
19010,-0.5264117948717948,1
19011,-0.3120825396825397,1
19012,0.086993125,3
19013,0.2696633333333333,3
19014,-0.08408454545454545,2
19015,-0.2617196694214876,1
19016,-0.3220979220779221,1
19017,0.28119076923076924,3
19018,-0.09624705882352942,2
19019,0.1448297297297297,3
20000,0.09551428571428573,3
20001,-0.20455217391304348,2
20002,0.08231571428571428,3
20003,-0.1190742857142857,2
20004,-0.4857842424242424,1
20005,0.1995916666666667,3
20006,-0.06642499999999998,2
20007,0.0013085714285714209,2
20008,-0.385948,1
20009,-1.1706961666666666,1
20010,-0.2941688888888889,1
20011,-0.0450464,2
20012,0.06132615384615385,3
20013,0.06541,3
20014,-0.24127833333333334,2
20015,-0.14182307692307694,2
20016,-0.28513285714285713,1
20017,-0.24931614457831325,1
20018,-0.031140000000000008,2
20019,-0.15420333333333333,2
20020,0.6543702777777778,4
21000,1.0062303448275862,5
21001,0.4223697872340425,4
21002,0.9445787878787879,5
21003,0.5023599999999999,4
21004,0.8485542105263159,5
21005,0.6556237837837837,4
21006,-0.04501507246376812,2
21007,0.7380096296296296,5
21008,0.9844129032258064,5
21009,0.7445209090909092,5
21010,0.937045806451613,5
21011,0.14813491228070175,3
21012,1.3251144827586208,5
21013,1.3588463157894737,5
21014,0.75559,5
21015,0.866100625,5
